canonical_playlist_index	video_id	canonical_title	youtube_url	transcript_info_json	primary_transcript_vtt	legacy_id	legacy_sequence	legacy_title	curated_output
25	kpShLuFNCF4	Weddings on Sabbath? + The Year of Tithing? || I'd Like to Know	https://www.youtube.com/watch?v=kpShLuFNCF4	curation/transcripts/id-like-to-know/025-kpShLuFNCF4-Weddings on Sabbath？ + The Year of Tithing？ ｜｜ I'd Like to Know.info.json	curation/transcripts/id-like-to-know/025-kpShLuFNCF4-Weddings on Sabbath？ + The Year of Tithing？ ｜｜ I'd Like to Know.en-orig.vtt				
26	WE4S4n0iuvM	Can Anyone Baptize in an Emergency? What Law Brings a Curse? || I'd Like to Know - Pr Stephen Bohr	https://www.youtube.com/watch?v=WE4S4n0iuvM	curation/transcripts/id-like-to-know/026-WE4S4n0iuvM-Can Anyone Baptize in an Emergency？ What Law Brings a Curse？ ｜｜ I'd Like to Know - Pr Stephen Bohr.info.json	curation/transcripts/id-like-to-know/026-WE4S4n0iuvM-Can Anyone Baptize in an Emergency？ What Law Brings a Curse？ ｜｜ I'd Like to Know - Pr Stephen Bohr.en-orig.vtt				
27	tckX9LyO4Dk	Wedding Traditions Pagan? White Robes, Judgment & the Book of Life || I'd Like to Know, Pr Bohr	https://www.youtube.com/watch?v=tckX9LyO4Dk	curation/transcripts/id-like-to-know/027-tckX9LyO4Dk-Wedding Traditions Pagan？ White Robes, Judgment & the Book of Life ｜｜ I'd Like to Know, Pr Bohr.info.json	curation/transcripts/id-like-to-know/027-tckX9LyO4Dk-Wedding Traditions Pagan？ White Robes, Judgment & the Book of Life ｜｜ I'd Like to Know, Pr Bohr.en-orig.vtt				
28	qAxYX3uIlAA	France, the Papacy & the Seven Heads || I'd Like to Know - Pr Stephen Bohr	https://www.youtube.com/watch?v=qAxYX3uIlAA	curation/transcripts/id-like-to-know/028-qAxYX3uIlAA-France, the Papacy & the Seven Heads ｜｜ I'd Like to Know - Pr Stephen Bohr.info.json	curation/transcripts/id-like-to-know/028-qAxYX3uIlAA-France, the Papacy & the Seven Heads ｜｜ I'd Like to Know - Pr Stephen Bohr.en-orig.vtt				
29	x1-OIkarebI	Life Insurance & Adventists: What Ellen White Actually Meant | I'd Like to Know - Pr Stephen Bohr	https://www.youtube.com/watch?v=x1-OIkarebI	curation/transcripts/id-like-to-know/029-x1-OIkarebI-Life Insurance & Adventists： What Ellen White Actually Meant ｜ I'd Like to Know - Pr Stephen Bohr.info.json	curation/transcripts/id-like-to-know/029-x1-OIkarebI-Life Insurance & Adventists： What Ellen White Actually Meant ｜ I'd Like to Know - Pr Stephen Bohr.en-orig.vtt				
30	Db5aGWXb1zM	Are the 24 Elders Literal or Symbolic? || I'd Like to Know - Pastor Stephen Bohr	https://www.youtube.com/watch?v=Db5aGWXb1zM	curation/transcripts/id-like-to-know/030-Db5aGWXb1zM-Are the 24 Elders Literal or Symbolic？ ｜｜ I'd Like to Know - Pastor Stephen Bohr.info.json	curation/transcripts/id-like-to-know/030-Db5aGWXb1zM-Are the 24 Elders Literal or Symbolic？ ｜｜ I'd Like to Know - Pastor Stephen Bohr.en-orig.vtt	ilk-014	014	Are the 24 Elders Literal or Symbolic?	curation/curated/id-like-to-know/items/ilk-014.md
31	XS5m-YlnGgs	How to prove the 1844 judgment from Scripture alone? | I'd Like to Know - Pastor Stephen Bohr	https://www.youtube.com/watch?v=XS5m-YlnGgs	curation/transcripts/id-like-to-know/031-XS5m-YlnGgs-How to prove the 1844 judgment from Scripture alone？ ｜ I'd Like to Know - Pastor Stephen Bohr.info.json	curation/transcripts/id-like-to-know/031-XS5m-YlnGgs-How to prove the 1844 judgment from Scripture alone？ ｜ I'd Like to Know - Pastor Stephen Bohr.en-orig.vtt				
32	K9ZfzImcXaY	Holy Spirit or Sabbath?  Practical Prep for Little Time of Trouble? | I'd Like to Know	https://www.youtube.com/watch?v=K9ZfzImcXaY	curation/transcripts/id-like-to-know/032-K9ZfzImcXaY-Holy Spirit or Sabbath？  Practical Prep for Little Time of Trouble？ ｜ I'd Like to Know.info.json	curation/transcripts/id-like-to-know/032-K9ZfzImcXaY-Holy Spirit or Sabbath？  Practical Prep for Little Time of Trouble？ ｜ I'd Like to Know.en-orig.vtt				
33	xVH_mPr-IAU	Where Did Jesus Go After Ascension? || I'd Like to Know	https://www.youtube.com/watch?v=xVH_mPr-IAU	curation/transcripts/id-like-to-know/033-xVH_mPr-IAU-Where Did Jesus Go After Ascension？ ｜｜ I'd Like to Know.info.json	curation/transcripts/id-like-to-know/033-xVH_mPr-IAU-Where Did Jesus Go After Ascension？ ｜｜ I'd Like to Know.en-orig.vtt				
34	XN8Q5wILzJQ	Ceremonial Laws in the NT/ Wicked at the Resurrection – Same Bodies? || I'd Like to Know	https://www.youtube.com/watch?v=XN8Q5wILzJQ	curation/transcripts/id-like-to-know/034-XN8Q5wILzJQ-Ceremonial Laws in the NT⧸ Wicked at the Resurrection – Same Bodies？ ｜｜ I'd Like to Know.info.json	curation/transcripts/id-like-to-know/034-XN8Q5wILzJQ-Ceremonial Laws in the NT⧸ Wicked at the Resurrection – Same Bodies？ ｜｜ I'd Like to Know.en-orig.vtt				
35	P3B4o1Q_8jI	Must We Marry? Who Are the Anointed Ones? || I'd Like to Know - Pr Stephen Bohr	https://www.youtube.com/watch?v=P3B4o1Q_8jI	curation/transcripts/id-like-to-know/035-P3B4o1Q_8jI-Must We Marry？ Who Are the Anointed Ones？ ｜｜ I'd Like to Know - Pr Stephen Bohr.info.json	curation/transcripts/id-like-to-know/035-P3B4o1Q_8jI-Must We Marry？ Who Are the Anointed Ones？ ｜｜ I'd Like to Know - Pr Stephen Bohr.en-orig.vtt				
36	6REqBEkGrUw	Eucharistic Congress: A Sign of the Last Days? || I'd Like to Know - Pr Stephen Bohr	https://www.youtube.com/watch?v=6REqBEkGrUw	curation/transcripts/id-like-to-know/036-6REqBEkGrUw-Eucharistic Congress： A Sign of the Last Days？ ｜｜ I'd Like to Know - Pr Stephen Bohr.info.json	curation/transcripts/id-like-to-know/036-6REqBEkGrUw-Eucharistic Congress： A Sign of the Last Days？ ｜｜ I'd Like to Know - Pr Stephen Bohr.en-orig.vtt				
37	XmzisEZty4s	The Truth Behind “Spirit” in Luke 23:46 / Understanding Matthew 24: Key Questions | I'd Like to Know	https://www.youtube.com/watch?v=XmzisEZty4s	curation/transcripts/id-like-to-know/037-XmzisEZty4s-The Truth Behind “Spirit” in Luke 23_46 ⧸ Understanding Matthew 24： Key Questions ｜ I'd Like to Know.info.json	curation/transcripts/id-like-to-know/037-XmzisEZty4s-The Truth Behind “Spirit” in Luke 23_46 ⧸ Understanding Matthew 24： Key Questions ｜ I'd Like to Know.en-orig.vtt				
38	d3IRYSvQcrw	Are Prophets for Today? || I'd Like to Know with Pr. Stephen Bohr	https://www.youtube.com/watch?v=d3IRYSvQcrw	curation/transcripts/id-like-to-know/038-d3IRYSvQcrw-Are Prophets for Today？ ｜｜ I'd Like to Know with Pr. Stephen Bohr.info.json	curation/transcripts/id-like-to-know/038-d3IRYSvQcrw-Are Prophets for Today？ ｜｜ I'd Like to Know with Pr. Stephen Bohr.en-orig.vtt	ilk-012	012	Are Prophets for Today?	curation/curated/id-like-to-know/items/ilk-012.md
39	lEYg2gDVj04	Second Resurrection & Judgment: What Does Revelation 20 Really Say? || I'd Like to Know	https://www.youtube.com/watch?v=lEYg2gDVj04	curation/transcripts/id-like-to-know/039-lEYg2gDVj04-Second Resurrection & Judgment： What Does Revelation 20 Really Say？ ｜｜ I'd Like to Know.info.json	curation/transcripts/id-like-to-know/039-lEYg2gDVj04-Second Resurrection & Judgment： What Does Revelation 20 Really Say？ ｜｜ I'd Like to Know.en-orig.vtt				
40	fpX9PK3l9nU	State of the Dead, Godhead Appearances, and Cain’s True Origin || I'd Like to Know	https://www.youtube.com/watch?v=fpX9PK3l9nU	curation/transcripts/id-like-to-know/040-fpX9PK3l9nU-State of the Dead, Godhead Appearances, and Cain’s True Origin ｜｜ I'd Like to Know.info.json	curation/transcripts/id-like-to-know/040-fpX9PK3l9nU-State of the Dead, Godhead Appearances, and Cain’s True Origin ｜｜ I'd Like to Know.en-orig.vtt				
41	iq5qdwjClEM	Struggling with Sin / Is it unchristian to stop helping an irresponsible family? || I'd Like to Know	https://www.youtube.com/watch?v=iq5qdwjClEM	curation/transcripts/id-like-to-know/041-iq5qdwjClEM-Struggling with Sin ⧸ Is it unchristian to stop helping an irresponsible family？ ｜｜ I'd Like to Know.info.json	curation/transcripts/id-like-to-know/041-iq5qdwjClEM-Struggling with Sin ⧸ Is it unchristian to stop helping an irresponsible family？ ｜｜ I'd Like to Know.en-orig.vtt				
42	ssQyJgIc4tQ	Did William Miller Preach a Lie? Rejoice or Weep? How to Express Emotions? || I'd Like to Know	https://www.youtube.com/watch?v=ssQyJgIc4tQ	curation/transcripts/id-like-to-know/042-ssQyJgIc4tQ-Did William Miller Preach a Lie？ Rejoice or Weep？ How to Express Emotions？ ｜｜ I'd Like to Know.info.json	curation/transcripts/id-like-to-know/042-ssQyJgIc4tQ-Did William Miller Preach a Lie？ Rejoice or Weep？ How to Express Emotions？ ｜｜ I'd Like to Know.en-orig.vtt				
43	eo-kSN69Kwc	What the Bible Really Says About Angels, Demons, and Their Mission || I'd Like to Know	https://www.youtube.com/watch?v=eo-kSN69Kwc	curation/transcripts/id-like-to-know/043-eo-kSN69Kwc-What the Bible Really Says About Angels, Demons, and Their Mission ｜｜ I'd Like to Know.info.json	curation/transcripts/id-like-to-know/043-eo-kSN69Kwc-What the Bible Really Says About Angels, Demons, and Their Mission ｜｜ I'd Like to Know.en-orig.vtt				
44	e70i45qhXDM	What did Paul really mean in Ephesians 2:14–16?  || I'd Like to Know	https://www.youtube.com/watch?v=e70i45qhXDM	curation/transcripts/id-like-to-know/044-e70i45qhXDM-What did Paul really mean in Ephesians 2_14–16？  ｜｜ I'd Like to Know.info.json	curation/transcripts/id-like-to-know/044-e70i45qhXDM-What did Paul really mean in Ephesians 2_14–16？  ｜｜ I'd Like to Know.en-orig.vtt				
45	k3Vd4rXLgYU	Did God Call Jacob After Changing His Name? | I'd Like to Know	https://www.youtube.com/watch?v=k3Vd4rXLgYU	curation/transcripts/id-like-to-know/045-k3Vd4rXLgYU-Did God Call Jacob After Changing His Name？ ｜ I'd Like to Know.info.json	curation/transcripts/id-like-to-know/045-k3Vd4rXLgYU-Did God Call Jacob After Changing His Name？ ｜ I'd Like to Know.en-orig.vtt				
46	4mPmUFFTpWk	How Can I Truly Follow Jesus? || I'd Like to Know with Pr Stephen Bohr	https://www.youtube.com/watch?v=4mPmUFFTpWk	curation/transcripts/id-like-to-know/046-4mPmUFFTpWk-How Can I Truly Follow Jesus？ ｜｜ I'd Like to Know with Pr Stephen Bohr.info.json	curation/transcripts/id-like-to-know/046-4mPmUFFTpWk-How Can I Truly Follow Jesus？ ｜｜ I'd Like to Know with Pr Stephen Bohr.en-orig.vtt				
47	mijZFpBjbZY	How to Study the Bible? | I'd Like to Know with Pr Stephen Bohr	https://www.youtube.com/watch?v=mijZFpBjbZY	curation/transcripts/id-like-to-know/047-mijZFpBjbZY-How to Study the Bible？ ｜ I'd Like to Know with Pr Stephen Bohr.info.json	curation/transcripts/id-like-to-know/047-mijZFpBjbZY-How to Study the Bible？ ｜ I'd Like to Know with Pr Stephen Bohr.en-orig.vtt				
48	BDgxVgcdXzA	Did the Catholic Church Compile the Bible? | I'd Like to Know |	https://www.youtube.com/watch?v=BDgxVgcdXzA	curation/transcripts/id-like-to-know/048-BDgxVgcdXzA-Did the Catholic Church Compile the Bible？ ｜ I'd Like to Know ｜.info.json	curation/transcripts/id-like-to-know/048-BDgxVgcdXzA-Did the Catholic Church Compile the Bible？ ｜ I'd Like to Know ｜.en-orig.vtt				
49	v-hmR2v-wBQ	Is Last Generation Theology denying Christ's sacrifice? | I'd Like to Know	https://www.youtube.com/watch?v=v-hmR2v-wBQ	curation/transcripts/id-like-to-know/049-v-hmR2v-wBQ-Is Last Generation Theology denying Christ's sacrifice？ ｜ I'd Like to Know.info.json	curation/transcripts/id-like-to-know/049-v-hmR2v-wBQ-Is Last Generation Theology denying Christ's sacrifice？ ｜ I'd Like to Know.en-orig.vtt				
50	6LjOKbINnUY	Are We Taking Messianic Prophecies Out of Context? | I'd Like to Know with Pastor Stephen Bohr	https://www.youtube.com/watch?v=6LjOKbINnUY	curation/transcripts/id-like-to-know/050-6LjOKbINnUY-Are We Taking Messianic Prophecies Out of Context？ ｜ I'd Like to Know with Pastor Stephen Bohr.info.json	curation/transcripts/id-like-to-know/050-6LjOKbINnUY-Are We Taking Messianic Prophecies Out of Context？ ｜ I'd Like to Know with Pastor Stephen Bohr.en-orig.vtt	ilk-017	017	Are We Taking Messianic Prophecies Out of Context?	curation/curated/id-like-to-know/items/ilk-017.md
51	s3YQ7PoO9sg	William Miller Rejected the Truth… Will He Still Be Saved? || I'd Like to Know || Stephen Bohr	https://www.youtube.com/watch?v=s3YQ7PoO9sg	curation/transcripts/id-like-to-know/051-s3YQ7PoO9sg-William Miller Rejected the Truth… Will He Still Be Saved？ ｜｜ I'd Like to Know ｜｜ Stephen Bohr.info.json	curation/transcripts/id-like-to-know/051-s3YQ7PoO9sg-William Miller Rejected the Truth… Will He Still Be Saved？ ｜｜ I'd Like to Know ｜｜ Stephen Bohr.en-orig.vtt				
52	V58kwua2A3o	The Universality of Sin? Daily Devotionals Needed? || I'd Like to Know || Stephen Bohr	https://www.youtube.com/watch?v=V58kwua2A3o	curation/transcripts/id-like-to-know/052-V58kwua2A3o-The Universality of Sin？ Daily Devotionals Needed？ ｜｜ I'd Like to Know ｜｜ Stephen Bohr.info.json	curation/transcripts/id-like-to-know/052-V58kwua2A3o-The Universality of Sin？ Daily Devotionals Needed？ ｜｜ I'd Like to Know ｜｜ Stephen Bohr.en-orig.vtt				
53	5I9nHktBym8	John 5:21 — Who Raises the Dead? / "Sabbaton" in  Luke 24:1 || I'd Like to Know || Stephen Bohr	https://www.youtube.com/watch?v=5I9nHktBym8	curation/transcripts/id-like-to-know/053-5I9nHktBym8-John 5_21 — Who Raises the Dead？ ⧸ ＂Sabbaton＂ in  Luke 24_1 ｜｜ I'd Like to Know ｜｜ Stephen Bohr.info.json	curation/transcripts/id-like-to-know/053-5I9nHktBym8-John 5_21 — Who Raises the Dead？ ⧸ ＂Sabbaton＂ in  Luke 24_1 ｜｜ I'd Like to Know ｜｜ Stephen Bohr.en-orig.vtt				
54	uDDq7tke8tw	Justification in the Bible: Legal vs. Experiential Explained - Pr Stephen Bohr || I'd Like to Know	https://www.youtube.com/watch?v=uDDq7tke8tw	curation/transcripts/id-like-to-know/054-uDDq7tke8tw-Justification in the Bible： Legal vs. Experiential Explained - Pr Stephen Bohr ｜｜ I'd Like to Know.info.json	curation/transcripts/id-like-to-know/054-uDDq7tke8tw-Justification in the Bible： Legal vs. Experiential Explained - Pr Stephen Bohr ｜｜ I'd Like to Know.en-orig.vtt				
55	PRwkHuM8Xj8	Did God Create Evil? - Pastor Stephen Bohr | I'd Like to Know with | Stephen Bohr	https://www.youtube.com/watch?v=PRwkHuM8Xj8	curation/transcripts/id-like-to-know/055-PRwkHuM8Xj8-Did God Create Evil？ - Pastor Stephen Bohr ｜ I'd Like to Know with ｜ Stephen Bohr.info.json	curation/transcripts/id-like-to-know/055-PRwkHuM8Xj8-Did God Create Evil？ - Pastor Stephen Bohr ｜ I'd Like to Know with ｜ Stephen Bohr.en-orig.vtt				
56	G_ZHBJnir6k	Is It Wrong to Question God? 🤔 End Time Questions || I'd Like to Know	https://www.youtube.com/watch?v=G_ZHBJnir6k	curation/transcripts/id-like-to-know/056-G_ZHBJnir6k-Is It Wrong to Question God？ 🤔 End Time Questions ｜｜ I'd Like to Know.info.json	curation/transcripts/id-like-to-know/056-G_ZHBJnir6k-Is It Wrong to Question God？ 🤔 End Time Questions ｜｜ I'd Like to Know.en-orig.vtt				
57	dNIBnKWlXZc	Does the Bible Forbid Nature Photography on Sabbath? Worship in Spirit and Truth? | I'd Like to Know	https://www.youtube.com/watch?v=dNIBnKWlXZc	curation/transcripts/id-like-to-know/057-dNIBnKWlXZc-Does the Bible Forbid Nature Photography on Sabbath？ Worship in Spirit and Truth？ ｜ I'd Like to Know.info.json	curation/transcripts/id-like-to-know/057-dNIBnKWlXZc-Does the Bible Forbid Nature Photography on Sabbath？ Worship in Spirit and Truth？ ｜ I'd Like to Know.en-orig.vtt				
